_id_	en	sv	da	nl	fi	de	nb
showBrowseButtons	Show browse buttons	Visa bläddraknappar	Vis bladre-knapper	Toon bladerknoppen	Näytä selauspainikkeet	Suchschaltflächen anzeigen	Vis bla-knapper
showWeekday	Show weekday	Visa veckodag	Vis ugedag	Weekdag tonen	Näytä viikonpäivä	Wochentag anzeigen	Vis ukedag
showDayPeriod	Show time for day and night	Visa tid på dygnet	Vis tid på døgnet	Tijd voor dag en nacht tonen	Näytä aika päivälle ja yölle	Zeit für Tag und Nacht anzeigen	Vis tid på døgnet
showDate	Show date	Visa datum	Vis dato	Datum tonen	Näytä päivämäärä	Datum anzeigen	Vis dato
showClock	Show clock	Visa klocka	Vis ur	Toon klok	Näytä kello	Uhr anzeigen	Vis klokken
							
## Activity view Settings							
delete	Delete	Radera	Slet	Verwijderen	Poista	Löschen	Slett
edit	Edit	Ändra	Ændre	Bewerken	Muokkaa	Bearbeiten	Endre
showQuarterHourWatchBar	Show Quarter Hour Watch bar	Visa kvartur	Vis kvartur	Kwartierkijkbalk tonen	Näytä aikapylväsnäkymä	Viertelstunden-Balken anzeigen	Vis kvarterur
timeOnQuarterHourBar	Time on Quarter Hour bar	Tid på kvartur	Tid på kvartur	Tijd op kwartierbalk	Aika varttikellon palkissa	Zeit auf Viertelstunden-Balken	Tid på kvarterur
							
## Calendar General Settings							
clock	Clock	Klocka	Ur	Klok	Kello	Uhr	Klokke
analogueDigital	Analogue + digital	Analog + digital	Analog + digital	Analoog + digitaal	Analoginen + digitaalinen	Analog + digital	Analog + digital
analogue	Analogue	Analog	Analog	Analoog	Analoginen	Analog	Analog
digital	Digital	Digital	Digital	Digitaal	Digitaalinen	Digital	Digital
timeline	Timeline	Tidslinje	Tidslinje	Tijdlijn	Aikajana	Zeitstrahl	Tidslinje
earyMorning	early morning	morgon	morgen	ochtend	aamu	frühmorgens	morgen
twelveHourFormat	12 hours format	12 timmar format	12 timers format	12 uur formaat	12 tunnin muoto	12 Stunden Format	12 timers format
oneDot	One dot	En punkt	Et punkt	Eén punt	Yksi piste	Ein Punkt	Et punkt
columnOfDots	Column of dots	Pelare av punkter	Søjle af punkter	Kolommen van punten	Pistepylväs	Spalte aus Punkten	Pillar av punkter
lineAcrossCurrentTime	Line across current time	Linje på aktuell tid	Linje viser aktuel tid	Lijn door huidige tijd	Viiva nykyisen ajan kohdalla	Linie über aktueller Zeit	Linje viser aktuell tid
linesForEachHour	Lines for each hour	Linjer för varje timme	Linjer for hver time	Lijnen voor elk uur	Viivat jokaiselle tunnille	Linien für jede Stunde	Linjer for hver time
saturdayAndSunday	Saturday and Sunday	Lördag och söndag	Lørdag og søndag	Zaterdag en zondag	Lauantai ja sunnuntai	Samstag und Sonntag	Lørdag og søndag
dayColours	Day colours	Dagfärger	Dagfarver	Dagkleuren	Päivien värit	Tagesfarben	Dagfarger
noDayColours	No day colours	Inga dagfärger	Ingen dagsfarver	Geen dagkleuren	Ei päivien värejä	Keine Tagesfarben	Ingen dagfarger
showCagetories	Show categories	Visa kategorier	Vis kategorier	Categorieën tonen	Näyte kategoriat	Kategorien zeigen	Vis kategorier
showColours	Show colours	Visa färger	Vis farver	Kleuren tonen	Näytä värit	Farben zeigen	Vis farger
editCategory	Edit category	Redigera kategori	Rediger kategori	Bewerk categorie	Muokkaa kategoriaa	Kategorie bearbeiten	Rediger kategori
							
### Speech support settings							
speakEveryWord	Read out word when space bar is pressed	Uppläsning av ord vid tryck på mellanslag	Oplæs ord ved mellemrum	Woord voorlezen als er op de spatiebalk wordt gedrukt	Lue sana ääneen, kun välilyöntipainiketta painetaan	Bei gedrückter Leertaste Wort vorlesen	Opplesning av ord ved mellomrom
speechRate	Speech rate	Talhastighet	Talehastighed	Spraaksnelheid	Puhenopeus	Sprechtempo	Talehastighet
voice	Voice	Röst	Stemme	Stem	Ääni	Stimme	Stemme
noVoicesInstalled	No voices installed	Inga röster är installerade	Der er ikke installeret nogen stemmer	Geen stemmen geïnstalleerd	Ääniä ei ole asennettu	Keine Stimmen installiert	Ingen stemmer er installert
installing	Installing	Installerar	Installering	Installeren	Asentaa	Wird installiert	Installerer
testOfSpeechRate	Test of speech rate	Test av talhastighet	Test af talehastighed	Test van spraaksnelheid	Puhenopeuden testaus	Test des Sprechtempos	Test av talehastighet
voices	Voices	Röster	Stemmer	Stemmen	Äänet	Stimmen	Stemmer
							
### Code protect							
codeProtect	Code protect	Kodskydd	Kodebeskyttelse	Codebescherming	Suojakoodi	Schutz durch Code	Kodebeskyttelse
code	Code	Kod	Kode	Code	Koodi	Code	Kode
codeProtectSettings	Code protect settings	Kodskydda Inställningar	Kodebeskyt indstillinger	Codebeschermingsinstellingen	Suojaa asetukset koodilla	Einstellungen mit Code schützen	Kodebeskytt Innstillinger
codeProtectThisView	Code protect this view	Kodskydda denna vy	Kodebeskytte denne visning.	Deze weergave met code beschermen	Suojaa tämä näkymä koodilla	Diese Anzeige durch Code schützen	Kodebeskytte denne visning.
codeProtectAndroidSettings	Code protect Android Settings	Kodskydda Android-inställningar	Kodebeskyt Android-indstillinger	Codebeschermingsinstellingen Android	Suojaa Android-asetukset koodilla	Android-Einstellungen mit Code schützen	Kodebeskytt Android-innstillinger
enterCode	Enter code	Ange kod	Indtast kode	Voer code in	Syötä koodi	Code eingeben	Angi kode
enterYourCodeToAccess	Enter your code to access	Ange din kod för att komma åt	Indtast din kode for at få adgang	Voer uw code in om toegang te krijgen naar	Syötä koodi päästäksesi sisään	Geben Sie Ihren Code ein, um darauf zuzugreifen	Angi din kode for å få tilgang
enterNewCode	Enter new code	Ange ny kod	Angiv nyt kodeord	Voer nieuwe code in	Anna uusi koodi	Neuen Code eingeben	Angi ny kode
confirmCode	Confirm code	Bekräfta kod	Bekræft kodeord	Bevestig code	Vahvista koodi	Code bestätigen	Bekreft kode
incorrectCode	Incorrect code	Felaktig kod	Forkert kodeord	Onjuiste code	Virheellinen koodi	Falscher Code	Feil kode
							
### Permissions							
permissions	Permissions	Behörigheter	Tilladelser	Rechten	Käyttöoikeudet	Berechtigungen	Tillatelser
notifications	Notifications	Notiser	Notifikationer	Meldingen	Ilmoitukset	Benachrichtigungen	Notifikasjoner
accessToPhotos	Access to Photos	Tillgång till bilder	Adgang til fotos	Toegang tot foto's	Pääsy valokuviin	Zugang zu Fotos	Tilgang til bilder
accessToCamera	Access to Camera	Tillgång till kameran	Adgang til kamera	Toegang tot camera	Kameran käyttöoikeus	Zugang zur Kamera	Tilgang til kamera
allowNotifications	Allow notifications	Tillåt notiser	Tillad notifikationer	Meldingen toestaan	Salli ilmoitukset	Benachrichtigungen zulassen	Tillat notifikasjoner
allowNotificationsDescription1	Allow notifications to be able to get alarms and reminders from activities. You can do that from the	Tillåt notiser för att få larm och påminnelser från aktiviteter. Du kan göra det ifrån	Tillad notifikationer for at kunne modtage alarmer og påmindelser fra aktiviteter. Du kan gøre det fra	Sta meldingen toe om alarmen en herinneringen van activiteiten te kunnen ontvangen. U kunt dat doen vanaf de	Salli ilmoitusten saada hälytyksiä ja muistutuksia toiminnasta. Voit tehdä sen	Ermöglichen Sie Benachrichtigungen, Alarme und Erinnerungen von Aktivitäten zu erhalten. Sie können das von der tun	Tillat notifikasjoner for å få alarm og påminnelser fra aktiviteter. Du kan gjøre det fra
settingsLink	settings	inställningar	indstillinger	instellingen	asetukset	die Einstellungen	innstillinger
turnOffNotifications	Turn off notifications?	Stäng av notiser?	Slå notifikationer fra	Zet de meldingen uit?	Laita ilmoitukset pois päältä?	Benachrichtigungen abschalten?	Slå av notifikasjoner?
turnOffNotificationsBody	You will no longer be able to get alarms and reminders from activities.	Du kommer inte längre kunna få alarm och notiser för aktiviteter.	Du kan ikke længere modtage alarmer og notifikationer fra aktiviteter.	U kunt geen alarmen en herinneringen meer ontvangen van activiteiten.	Et voi enää saada hälytyksiä ja muistutuksia toiminnasta.	Sie können keine Alarme und Erinnerungen mehr an Aktivitäten erhalten.	Du vil ikke lengre få alarm og notifikasjoner fra aktiviteter
notificationsWarningHintText	Allow notifications to be able to get alarms and reminders from activities.	Tillåt notiser för att få larm och påminnelser för aktiviteter.	Tillad notifikationer for at kunne modtage alarmer og påmindelser for aktiviteter.	Sta meldingen toe om alarmen en herinneringen van activiteiten te kunnen ontvangen.	Salli ilmoitusten saada hälytyksiä ja muistutuksia toiminnasta.	Ermöglichen Sie Benachrichtigungen, Alarme und Erinnerungen von Aktivitäten zu erhalten.	Tillat notifikasjoner for å få alarm og påminnelser for aktiviteter
notificationsWarningText	Allow notifications from the settings to be able to receive alarms and reminders.	Tillåt notiser från inställningar för att få larm och påminnelser.	Tillad notifikationer fra indstillingerne for at kunne modtage alarmer og påmindelser.	Sta meldingen van de instellingen toe om alarmen en herinneringen te kunnen ontvangen.	Salli asetusten ilmoitusten vastaanottaa hälytyksiä ja muistutuksia.	Sta meldingen van de instellingen toe om alarmen en herinneringen te kunnen ontvangen.	Tillat notifikasjoner fra innstillinger for å få alarm og påminnelser
fullScreenAlarm	Full screen alarm	Helskärmslarm	Alarm i fuld skærm	Alarm op volledig scherm	Koko näytön hälytys	Vollbildalarm	Alarm i fullskjerm
redirectToAndroidSettings	You will be redirect to the Android settings.	Du kommer att omdirigeras till Android-inställningarna.	Du omdirigeres til Android-indstillingerne.	U wordt doorgestuurd naar de Android-instellingen.	Sinut ohjataan Android-asetuksiin.	Sie werden zu den Android-Einstellungen weitergeleitet.	Du vil bli omdirrigert til Android-innstillinger
fullScreenAlarmInfo	Allow this permission to be able to get full screen alarm of activities	Tillåt denna behörighet för att kunna få helskärmslarm om aktiviteter	Accepter denne tilladelse for at kunne få alarm i fuld skærm til aktiviteter	Sta deze toestemming toe om een alarm op volledig scherm van activiteiten te krijgen	Anna tämän oikeuden saada koko näytön hälytys toiminnoista	Ermöglichen Sie dieser Berechtigung, einen Vollbildalarm für Aktivitäten zu erhalten	Godta denne tillatelsen for å få alarm i fullskjerm for aktiviteter
allow	Allow	Tillåt	Tillad	Toestaan	Sallia	ermöglichen	Tillat
previewActivityTitle	Erik's birthday party	Eriks födelsedagskalas	Eriks fødselsdagsfest	Erik's verjaardagsfeestje	Erikin syntymäpäiväjuhlat	Eriks Geburtstagsfeier	Eiriks bursdagsselskap
allowAccessPhotosBody	Allow access to photos to be able to use photos from the device.	Tillåt behörighet till bilder för att ha möjlighet att använda bilder från enheten.	Tillad adgang til fotos for at kunne bruge fotos fra enheden.	Sta toegang tot foto's toe om foto's van het apparaat te kunnen gebruiken.	Salli valokuvien käyttö, jotta voit käyttää valokuvia laitteesta.	Ermöglichen Sie den Zugriff auf Fotos, um Fotos vom Gerät verwenden zu können.	Tillat tilgang til bilder for å ha mulighet til å bruke bilder fra enheten
allowAccessCameraBody	Allow access to camera to be able to take a photo from the device.	Tillåt behörighet till kameran för att ha möjlighet att ta bilder från enheten.	Tillad adgang til kameraet for at kunne tage et billede fra enheden.	Sta toegang tot de camera toe om een foto te kunnen maken vanaf het apparaat.	Salli kameran käyttö, jotta voit ottaa valokuvan laitteesta.	Ermöglichen Sie den Zugriff auf die Kamera, um ein Foto vom Gerät aufnehmen zu können.	Tillat tilgang til kamera for å ha mulighet til å ta bilder fra enheten
allowAccessBody2	You can always do that later from the	Du kan alltid göra det senare från	Du kan altid gøre det senere fra	U kunt dat later altijd doen vanuit het	Voit aina tehdä sen myöhemmin	Das können Sie später immer noch von der	Du kan alltids gjøre det senere fra
accessToMicrophone	Access to Microphone	Tillgång till mikrofon	Adgang til mikrofon	Toegang tot microfoon	Pääsy mikrofoniin	Zugang zum Mikrofon	Tilgang til mikrofon
allowAccessMicrophoneBody	Allow access to microphone to be able to record speech from the device	Tillåt åtkomst till mikrofon för att kunna spela in tal från enheten	Tillad adgang til mikrofon for at kunne optage tale fra enheden	Toegang tot microfoon toestaan om spraak van het apparaat op te nemen	Salli mikrofonin käyttö, jotta voit tallentaa puhetta laitteelta	Erlauben Sie den Zugriff auf das Mikrofon, um Sprache vom Gerät aufzeichnen zu können	Tillat tilgang til mikrofon for å kunne ta opp tale fra enheten
							
### About							
about	About	Information	Information	Informatie	Tiedot	Information	Informasjon
aboutMemoplanner	About	Information	Om	Over	Lisätietoja	Über	Om
licenseNumber	License number	Licensnyckel	Licensnummer	Licentienummer	Lisenssinumero	Lizenznummer	Lisens nummer
licenseValidDate	License valid date	Licensens slutdatum	Licens gyldighedsdato	Geldigheidsdatum licentie	Lisenssin viimeinen voimassaolopäivä	Gültigkeitsdatum Lizenz	Lisens gyldig dato
loggedInUser	Logged in user account	Inloggat användarkonto	Logget ind brugerkonto	Ingelogd gebruikersaccount	Kirjautunut käyttäjätili	Angemeldetes Benutzerkonto	Innlogget brukerkonto
aboutDevice	About the device	Om enheten	Om enheden	Over het apparaat	Tietoja laitteesta	Über das Gerät	Om enheten
deviceName	Device name	Enhetens namn	Enhedsnavn	Apparaatnaam	Laitteen nimi	Gerätename	Enhetsnavn
serialNumber	Serial number	Serienummer	Serienummer	Serienummer	Sarjanumero	Seriennummer	Serienummer
version	Version	Version	Version	Versie	Versio	Version	Versjon
androidVersion	Android version	Android-version	Android-version	Android-versie	Android-versio	Android-Version	Android versjon
iosVersion	iOS version	iOS-version	iOS-version	iOS-versie	iOS-versio	iOS-Version	iOS versjon
producer	Producer	Producent	Producent	Producent	Valmistaja	Hersteller	Produsent
searchForUpdate	Search for update	Sök uppdatering	Søg opdatering	Zoeken naar update	Etsi päivitystä	Nach neuerer Version suchen	Søk oppdatering
							
### Menu page							
camera	Camera	Kamera	Kamera	Camera	Kamera	Kamera	Kamera
photoCalendar	Photo calendar	Fotokalender	Billedekalender	Fotokalender	Kuvakalenteri	Fotokalender	Bildekalender
countdown	Countdown	Nedräkning	Nedtælling	Timers	Ajastin	Countdown	Nedtelling
quickSettingsMenu	Quick settings	Snabb-\ninställningar	Hurtig-\nindstillinger	Snelle\ninstellingen	Pika-\nasetukset	Schnell-\neinstellungen	Hurtig-\ninnstillinger
### Photo calendar							
allPhotos	All photos	Alla foton	Alle fotos	Alle foto's	Kaikki kuvat	Alle Fotos	Alle foto
addToPhotoCalendarQuestion	Do you want to add this photo to Photo-calendar?	Vill du lägga in detta foto i fotokalendern?	Ønsker du at tilføje dette foto til din fotokalender?	Wilt u deze foto toevoegen aan de fotokalender?	Haluatko lisätä tämän kuvan valokuvakalenteriin?	Möchten Sie dieses Foto dem Fotokalender hinzufügen?	Vil du legge inn dette foto i fotokalenderen?
removeFromPhotoCalendarQuestion	Do you want to remove this photo from Photo-calendar?	Vill du ta bort detta foto från fotokalendern?	Ønsker du at fjerne dette foto fra din fotokalender?	Wilt u deze foto uit de fotokalender verwijderen?	Haluatko poistaa tämän kuvan valokuvakalenterista?	Möchten Sie dieses Foto aus dem Fotokalender entfernen?	Vil du slette dette foto fra fotokalenderen?
remove	Remove	Ta bort	Slet	Verwijderen	Poista	Löschen	Fjern
doYouWantToDeleteThisPhoto	Are you sure you want to delete this photo?	Är du säker på att du vill radera detta foto?	Er du sikker på, du ønsker at slette dette foto?	Weet u zeker dat u deze foto wilt verwijderen?	Haluatko varmasti poistaa tämän kuvan?	Sind Sie sicher, dass Sie dieses Foto löschen möchten?	Er du sikker på at du vil slette dette foto?
							
### Starter set							
installStarterSet	Install starter set?	Installera startuppsättning?	Vil du installere startersættet?	Standaard dataset installeren?	Aseta aloitussarja	Einstiegspaket installieren?	Installere startoppsett?
doYouWantToImportADefaultSet	Do you want to import a default set of data with activities, timers, checklists and image archive?	Vill du importera startuppsättning av aktiviteter, timers, checklistor och bildarkiv?	Ønsker du at importere startopsætning med aktiviteter, timer, tjeklister og billedarkiv?	Wilt u een standaard dataset importeren met activiteiten, timers, checklists en afbeeldingenarchief?	Haluatko tuoda oletustiedot aktiviteettien, ajastimien, tarkistusluettelojen ja kuva-arkiston mukana?	Möchten Sie einen Standard-Datenbestand mit aktivitäten, Timern, Checklisten und Bildarchiv importieren?	Ønsker du å importere startoppsett av aktiviteter, timere, sjekklister og bildearkiv?
							
### Terms of use							
welcomeMemoplanner	Welcome to MEMOplanner 4					
readAndAgree	To use MEMOplanner 4, please read and agree to the terms of use and privacy policy					
							
### Start guide							
welcome	Welcome!	Välkommen!	Velkommen!	Welkom!	Tervetuloa!	Willkommen!	Velkommen!
welcomeText	This guide will help you get started with MEMOplanner.	Den här guiden hjälper dig att komma igång med MEMOplanner.	Denne guide vil hjælpe dig med at komme i gang med MEMOplanner.	Deze gids helpt u om aan de slag te gaan met MEMOplanner.	Tämä opas auttaa aloittamaan Memoplannerin käytön.	Dieser Assistent hilft Ihnen bei den ersten Schritten mit MEMOplanner.	Denne guiden vil hjelpe deg å komme i gang med MEMOplanner.
checkInternetConnection	Check your Internet connection	Kontrollera din internetanslutning	Kontroller din internetforbindelse	Controleer uw internetverbinding	Tarkista Internet-yhteys	Überprüfen Sie Ihre Internetverbindung	Sjekk din Internettforbindelse
step	Step	Steg	Trin	Stap	Vaihe	Schritt	Trinn
downloadVoiceText	Download voice for speech support	Ladda ner röst för talstöd	Download stemme til stemmerapport	Dowload stem voor spraakondersteuning	Lataa ääni puhetukea varten	Stimme für Sprachunterstützung herunterladen	Last ned stemme for talestøtte
finsish	Finish	Slutför	Afslut	Voltooien	Lopeta	Abschließen	Ferdig
notSelected	Not selected	Inte valt	Ikke valgt	Niet geselecteerd	Ei valittu	Nicht ausgewählt	Ikke valgt
