_id_	en	sv	da	nl	fi	de	nb
speechRate	Speech rate	Talhastighet	Talehastighed	Spraaksnelheid	Puhenopeus	Sprechtempo	Talehastighet
voice	Voice	Röst					
noVoicesInstalled	No voices installed	Inga röster är installerade	Der er ikke installeret nogen stemmer	Geen stemmen geïnstalleerd	Ääniä ei ole asennettu	Keine Stimmen installiert	Ingen stemmer er installert
installingVoice	Installing	Installerar					
speechTest	Test of speech rate	Test av talhastighet	Test af talehastighed	Test van spraaksnelheid	Puhenopeuden testaus	Test des Sprechtempos	Test av talehastighet
							
### Code protect							
codeProtect	Code protect	Kodskydd	Kodebeskyttelse	Codebescherming	Suojakoodi	Schutz durch Code	Kodebeskyttelse
code	Code	Kod	Kode	Code	Koodi	Code	Kode
codeProtectSettings	Code protect settings	Kodskydda Inställningar	Kodebeskyt indstillinger	Codebeschermingsinstellingen	Suojaa asetukset koodilla	Einstellungen mit Code schützen	Kodebeskytt Innstillinger
codeProtectThisView	Code protect this view	Kodskydda denna vy	Kodebeskytte denne visning.	Deze weergave met code beschermen	Suojaa tämä näkymä koodilla	Diese Anzeige durch Code schützen	Kodebeskytte denne visning.
codeProtectAndroidSettings	Code protect Android Settings	Kodskydda Android-inställningar	Kodebeskyt Android-indstillinger	Codebeschermingsinstellingen Android	Suojaa Android-asetukset koodilla	Android-Einstellungen mit Code schützen	Kodebeskytt Android-innstillinger
enterCode	Enter code						
enterYourCodeToAccess	Enter your code to access						
enterNewCode	Enter new code	Ange ny kod	Angiv nyt kodeord	Voer nieuwe code in	Anna uusi koodi	Neuen Code eingeben	Angi ny kode
confirmCode	Confirm code	Bekräfta kod	Bekræft kodeord	Bevestig code	Vahvista koodi	Code bestätigen	Bekreft kode
incorrectCode	Incorrect code	Felaktig kod	Forkert kodeord	Onjuiste code	Virheellinen koodi	Falscher Code	Feil kode
							
### Permissions							
permissions	Permissions	Behörigheter	Tilladelser	Rechten	Käyttöoikeudet	Berechtigungen	Tillatelser
notifications	Notifications	Notiser	Notifikationer	Meldingen	Ilmoitukset	Benachrichtigungen	Notifikasjoner
accessToPhotos	Access to Photos	Tillgång till bilder	Adgang til fotos	Toegang tot foto's	Pääsy valokuviin	Zugang zu Fotos	Tilgang til bilder
accessToCamera	Access to Camera	Tillgång till kameran	Adgang til kamera	Toegang tot camera	Kameran käyttöoikeus	Zugang zur Kamera	Tilgang til kamera
allowNotifications	Allow notifications	Tillåt notiser	Tillad notifikationer	Meldingen toestaan	Salli ilmoitukset	Benachrichtigungen zulassen	Tillat notifikasjoner
allowNotificationsDescription1	Allow notifications to be able to get alarms and reminders from activities. You can do that from the	Tillåt notiser för att få larm och påminnelser från aktiviteter. Du kan göra det ifrån	Tillad notifikationer for at kunne modtage alarmer og påmindelser fra aktiviteter. Du kan gøre det fra	Sta meldingen toe om alarmen en herinneringen van activiteiten te kunnen ontvangen. U kunt dat doen vanaf de	Salli ilmoitusten saada hälytyksiä ja muistutuksia toiminnasta. Voit tehdä sen	Ermöglichen Sie Benachrichtigungen, Alarme und Erinnerungen von Aktivitäten zu erhalten. Sie können das von der tun	Tillat notifikasjoner for å få alarm og påminnelser fra aktiviteter. Du kan gjøre det fra
settingsLink	settings	inställningar	indstillinger	instellingen	asetukset	die Einstellungen	innstillinger
turnOffNotifications	Turn off notifications?	Stäng av notiser?	Slå notifikationer fra	Zet de meldingen uit?	Laita ilmoitukset pois päältä?	Benachrichtigungen abschalten?	Slå av notifikasjoner?
turnOffNotificationsBody	You will no longer be able to get alarms and reminders from activities.	Du kommer inte längre kunna få alarm och notiser för aktiviteter.	Du kan ikke længere modtage alarmer og notifikationer fra aktiviteter.	U kunt geen alarmen en herinneringen meer ontvangen van activiteiten.	Et voi enää saada hälytyksiä ja muistutuksia toiminnasta.	Sie können keine Alarme und Erinnerungen mehr an Aktivitäten erhalten.	Du vil ikke lengre få alarm og notifikasjoner fra aktiviteter
notificationsWarningHintText	Allow notifications to be able to get alarms and reminders from activities.	Tillåt notiser för att få larm och påminnelser för aktiviteter.	Tillad notifikationer for at kunne modtage alarmer og påmindelser for aktiviteter.	Sta meldingen toe om alarmen en herinneringen van activiteiten te kunnen ontvangen.	Salli ilmoitusten saada hälytyksiä ja muistutuksia toiminnasta.	Ermöglichen Sie Benachrichtigungen, Alarme und Erinnerungen von Aktivitäten zu erhalten.	Tillat notifikasjoner for å få alarm og påminnelser for aktiviteter
notificationsWarningText	Allow notifications from the settings to be able to receive alarms and reminders.	Tillåt notiser från inställningar för att få larm och påminnelser.	Tillad notifikationer fra indstillingerne for at kunne modtage alarmer og påmindelser.	Sta meldingen van de instellingen toe om alarmen en herinneringen te kunnen ontvangen.	Salli asetusten ilmoitusten vastaanottaa hälytyksiä ja muistutuksia.	Sta meldingen van de instellingen toe om alarmen en herinneringen te kunnen ontvangen.	Tillat notifikasjoner fra innstillinger for å få alarm og påminnelser
fullScreenAlarm	Full screen alarm	Helskärmslarm	Alarm i fuld skærm	Alarm op volledig scherm	Koko näytön hälytys	Vollbildalarm	Alarm i fullskjerm
redirectToAndroidSettings	You will be redirect to the Android settings.	Du kommer att omdirigeras till Android-inställningarna.	Du omdirigeres til Android-indstillingerne.	U wordt doorgestuurd naar de Android-instellingen.	Sinut ohjataan Android-asetuksiin.	Sie werden zu den Android-Einstellungen weitergeleitet.	Du vil bli omdirrigert til Android-innstillinger
fullScreenAlarmInfo	Allow this permission to be able to get full screen alarm of activities	Tillåt denna behörighet för att kunna få helskärmslarm om aktiviteter	Accepter denne tilladelse for at kunne få alarm i fuld skærm til aktiviteter	Sta deze toestemming toe om een alarm op volledig scherm van activiteiten te krijgen	Anna tämän oikeuden saada koko näytön hälytys toiminnoista	Ermöglichen Sie dieser Berechtigung, einen Vollbildalarm für Aktivitäten zu erhalten	Godta denne tillatelsen for å få alarm i fullskjerm for aktiviteter
allow	Allow	Tillåt	Tillad	Toestaan	Sallia	ermöglichen	Tillat
previewActivityTitle	Erik's birthday party	Eriks födelsedagskalas	Eriks fødselsdagsfest	Erik's verjaardagsfeestje	Erikin syntymäpäiväjuhlat	Eriks Geburtstagsfeier	Eiriks bursdagsselskap
allowAccessPhotosBody	Allow access to photos to be able to use photos from the device.	Tillåt behörighet till bilder för att ha möjlighet att använda bilder från enheten.	Tillad adgang til fotos for at kunne bruge fotos fra enheden.	Sta toegang tot foto's toe om foto's van het apparaat te kunnen gebruiken.	Salli valokuvien käyttö, jotta voit käyttää valokuvia laitteesta.	Ermöglichen Sie den Zugriff auf Fotos, um Fotos vom Gerät verwenden zu können.	Tillat tilgang til bilder for å ha mulighet til å bruke bilder fra enheten
allowAccessCameraBody	Allow access to camera to be able to take a photo from the device.	Tillåt behörighet till kameran för att ha möjlighet att ta bilder från enheten.	Tillad adgang til kameraet for at kunne tage et billede fra enheden.	Sta toegang tot de camera toe om een foto te kunnen maken vanaf het apparaat.	Salli kameran käyttö, jotta voit ottaa valokuvan laitteesta.	Ermöglichen Sie den Zugriff auf die Kamera, um ein Foto vom Gerät aufnehmen zu können.	Tillat tilgang til kamera for å ha mulighet til å ta bilder fra enheten
allowAccessBody2	You can always do that later from the	Du kan alltid göra det senare från	Du kan altid gøre det senere fra	U kunt dat later altijd doen vanuit het	Voit aina tehdä sen myöhemmin	Das können Sie später immer noch von der	Du kan alltids gjøre det senere fra
accessToMicrophone	Access to Microphone	Tillgång till mikrofon	Adgang til mikrofon	Toegang tot microfoon	Pääsy mikrofoniin	Zugang zum Mikrofon	Tilgang til mikrofon
allowAccessMicrophoneBody	Allow access to microphone to be able to record speech from the device	Tillåt åtkomst till mikrofon för att kunna spela in tal från enheten	Tillad adgang til mikrofon for at kunne optage tale fra enheden	Toegang tot microfoon toestaan om spraak van het apparaat op te nemen	Salli mikrofonin käyttö, jotta voit tallentaa puhetta laitteelta	Erlauben Sie den Zugriff auf das Mikrofon, um Sprache vom Gerät aufzeichnen zu können	Tillat tilgang til mikrofon for å kunne ta opp tale fra enheten
							
### About							
about	About	Information	Information	Informatie	Tiedot	Information	Informasjon
version	Version	Version	Version	Versie	Versio	Version	Versjon
producer	Producer	Producent	Producent	Producent	Valmistaja	Hersteller	Produsent
searchForUpdate	Search for update	Sök uppdatering	Søg opdatering	Zoeken naar update	Etsi päivitystä	Nach neuerer Version suchen	Søk oppdatering
							
### Menu page							
camera	Camera	Kamera	Kamera	Camera	Kamera	Kamera	Kamera
photoCalendar	Photo-calendar	Foto-\nkalender	Billede-\nkalender	Foto-\nkalender	Kuva-\nkalenteri	Foto-\nkalender	Bilde-\nkalender
countdown	Countdown	Nedräkning	Nedtælling	Timers	Ajastin	Countdown	Nedtelling
quickSettingsMenu	Quick settings	Snabb-\ninställningar	Hurtig-\nindstillinger	Snelle\ninstellingen	Pika-\nasetukset	Schnell-\neinstellungen	Hurtig-\ninnstillinger
### Photo calendar							
allPhotos	All photos						
addToPhotoCalendarQuestion	Add this photo to Photo-calendar?						
removeFromPhotoCalendarQuestion	Remove this photo from Photo-calendar?						
remove	Remove						
doYouWantToDeleteThisPhoto	Do you want to delete this photo?						
